"Site","Year","Rosettes","Infl","TagNew","RosNew","InflNew","surv","lagsrtsz","lagforsurv","PptFall","PptWinter","PptSummer","TempFall","TempWinter","TempSummer","TransectNew","InflYesNo"
"Garden Park East",2008,2,0,"E.4.127",14,7,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",1
"Garden Park East",2009,1,0,"E.4.127",13,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,NA,NA,"E.4.127",23,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,NA,NA,"E.4.127",NA,NA,NA,0,0,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",NA
"Garden Park East",2012,5,0,"E.4.127",5,0,1,2,2,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,NA,NA,"E.4.127",NA,NA,0,0,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",NA
"Garden Park East",2004,1,0,"E.4.128",6,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,NA,NA,"E.4.128",1,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,NA,NA,"E.4.128",2,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,5,1,"E.4.128",5,1,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",1
"Garden Park East",2008,NA,NA,"E.4.128",1,1,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",1
"Garden Park East",2009,NA,NA,"E.4.128",1,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,NA,NA,"E.4.128",9,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,NA,NA,"E.4.128",NA,NA,NA,0,0,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",NA
"Garden Park East",2012,NA,NA,"E.4.128",2,1,1,2,2,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",1
"Garden Park East",2013,NA,NA,"E.4.128",NA,NA,0,0,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",NA
"Garden Park East",2004,6,0,"E.4.129",6,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,10,0,"E.4.129",10,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,3,0,"E.4.129",3,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,9,2,"E.4.129",9,2,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",1
"Garden Park East",2008,8,3,"E.4.129",8,3,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",1
"Garden Park East",2009,6,0,"E.4.129",6,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,29,0,"E.4.129",29,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,1,0,"E.4.129",1,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",0
"Garden Park East",2012,8,0,"E.4.129",8,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,9,0,"E.4.129",9,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",0
"Garden Park East",2014,6,0,"E.4.129",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,6,0,"E.4.129",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,NA,NA,"E.4.129",NA,NA,0,0,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",NA
"Garden Park East",2004,9,4,"E.4.130",43,29,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",1
"Garden Park East",2005,12,11,"E.4.130",50,27,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",1
"Garden Park East",2006,10,4,"E.4.130",46,4,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",1
"Garden Park East",2007,NA,NA,"E.4.130",47,33,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",1
"Garden Park East",2008,NA,NA,"E.4.130",80,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",0
"Garden Park East",2009,1,0,"E.4.130",36,8,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",1
"Garden Park East",2010,1,0,"E.4.130",56,25,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",1
"Garden Park East",2011,2,0,"E.4.130",61,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",0
"Garden Park East",2012,2,0,"E.4.130",34,29,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",1
"Garden Park East",2013,5,0,"E.4.130",60,8,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",1
"Garden Park East",2014,9,4,"E.4.130",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,9,4,"E.4.130",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,3,0,"E.4.130",39,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",0
"Garden Park East",2017,9,4,"E.4.130",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.4",NA
"Garden Park East",2018,1,0,"E.4.130",4,2,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.4",1
"Garden Park East",2004,5,0,"E.4.131",5,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,8,1,"E.4.131",8,1,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",1
"Garden Park East",2006,9,2,"E.4.131",9,2,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",1
"Garden Park East",2007,NA,NA,"E.4.131",NA,NA,NA,0,0,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",NA
"Garden Park East",2008,NA,NA,"E.4.131",NA,NA,NA,0,0,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",NA
"Garden Park East",2009,NA,NA,"E.4.131",1,0,1,3,3,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,NA,NA,"E.4.131",NA,NA,0,0,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",NA
"Garden Park East",2004,1,0,"E.4.132",3,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,NA,NA,"E.4.132",2,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,NA,NA,"E.4.132",NA,NA,0,0,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",NA
"Garden Park East",2004,5,0,"E.4.133",5,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,5,3,"E.4.133",5,3,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",1
"Garden Park East",2006,3,0,"E.4.133",4,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,NA,NA,"E.4.133",NA,NA,0,0,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",NA
"Garden Park East",2004,1,0,"E.4.134",2,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,2,0,"E.4.134",4,1,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",1
"Garden Park East",2006,NA,NA,"E.4.134",2,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,NA,NA,"E.4.134",NA,NA,NA,0,0,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",NA
"Garden Park East",2008,NA,NA,"E.4.134",4,0,1,2,2,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",0
"Garden Park East",2009,NA,NA,"E.4.134",3,1,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",1
"Garden Park East",2010,NA,NA,"E.4.134",NA,NA,0,0,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",NA
"Garden Park East",2004,2,0,"E.4.135",2,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,3,0,"E.4.135",3,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,3,0,"E.4.135",3,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,3,0,"E.4.135",3,0,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",0
"Garden Park East",2008,1,0,"E.4.135",1,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",0
"Garden Park East",2009,1,0,"E.4.135",1,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,3,0,"E.4.135",3,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,NA,NA,"E.4.135",NA,NA,0,0,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",NA
"Garden Park East",2004,1,0,"E.4.136",1,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,1,0,"E.4.136",1,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,1,0,"E.4.136",1,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,1,0,"E.4.136",1,0,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",0
"Garden Park East",2008,3,0,"E.4.136",3,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",0
"Garden Park East",2009,2,0,"E.4.136",2,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,3,0,"E.4.136",3,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,NA,NA,"E.4.136",NA,NA,NA,0,0,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",NA
"Garden Park East",2012,5,0,"E.4.136",5,0,1,2,2,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,9,0,"E.4.136",9,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",0
"Garden Park East",2014,1,0,"E.4.136",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,1,0,"E.4.136",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,NA,NA,"E.4.136",NA,NA,NA,0,0,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",NA
"Garden Park East",2017,1,0,"E.4.136",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.4",NA
"Garden Park East",2018,1,1,"E.4.136",1,1,1,5,5,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.4",1
"Garden Park East",2004,2,0,"E.4.137",2,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,4,0,"E.4.137",4,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,2,0,"E.4.137",2,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,6,0,"E.4.137",6,0,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",0
"Garden Park East",2008,5,0,"E.4.137",5,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",0
"Garden Park East",2009,5,0,"E.4.137",5,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,7,0,"E.4.137",7,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,7,0,"E.4.137",7,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",0
"Garden Park East",2012,7,3,"E.4.137",11,3,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",1
"Garden Park East",2013,8,0,"E.4.137",11,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",0
"Garden Park East",2014,2,0,"E.4.137",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,2,0,"E.4.137",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,9,0,"E.4.137",14,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",0
"Garden Park East",2017,2,0,"E.4.137",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.4",NA
"Garden Park East",2018,7,0,"E.4.137",7,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.4",0
"Garden Park East",2004,26,30,"E.4.138",27,30,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",1
"Garden Park East",2005,26,10,"E.4.138",26,10,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",1
"Garden Park East",2006,28,0,"E.4.138",28,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,37,11,"E.4.138",37,11,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",1
"Garden Park East",2008,39,19,"E.4.138",39,19,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",1
"Garden Park East",2009,29,0,"E.4.138",29,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,103,0,"E.4.138",103,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,NA,NA,"E.4.138",NA,NA,NA,0,0,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",NA
"Garden Park East",2012,16,3,"E.4.138",16,3,1,2,2,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",1
"Garden Park East",2013,7,0,"E.4.138",7,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",0
"Garden Park East",2014,26,30,"E.4.138",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,26,30,"E.4.138",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,NA,NA,"E.4.138",NA,NA,0,0,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",NA
"Garden Park East",2004,1,0,"E.4.139",2,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,1,0,"E.4.139",3,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,NA,NA,"E.4.139",4,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,6,0,"E.4.139",7,0,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",0
"Garden Park East",2008,2,0,"E.4.139",3,0,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",0
"Garden Park East",2009,1,0,"E.4.139",2,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,2,0,"E.4.139",4,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,NA,NA,"E.4.139",NA,NA,NA,0,0,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",NA
"Garden Park East",2012,1,0,"E.4.139",1,0,1,2,2,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,3,0,"E.4.139",3,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",0
"Garden Park East",2014,1,0,"E.4.139",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,1,0,"E.4.139",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,NA,NA,"E.4.139",NA,NA,0,0,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",NA
"Garden Park East",2004,8,0,"E.4.140",10,0,1,0,0,105.83399772644,64.7270002365112,330.682995796204,13.3567508459091,2.13050012290478,15.2107503414154,"E.4",0
"Garden Park East",2005,5,0,"E.4.140",9,0,1,1,1,118.014999389648,102.725998878479,104.185001373291,12.2380005717278,1.98575010895729,15.7927503585815,"E.4",0
"Garden Park East",2006,4,0,"E.4.140",5,0,1,1,1,140.379996776581,59.0659999847412,219.822005271912,13.7335003614426,1.01350009441376,17.1732506752014,"E.4",0
"Garden Park East",2007,10,8,"E.4.140",12,8,1,1,1,167.9129986763,110.20599937439,271.362997055054,12.0925005674362,0.57800005748868,15.2220007181168,"E.4",1
"Garden Park East",2008,7,11,"E.4.140",9,11,1,1,1,98.7579970359802,102.395001411438,92.3909997940063,14.2165009975433,-0.341999981552362,15.1650006771088,"E.4",1
"Garden Park East",2009,4,0,"E.4.140",4,0,1,1,1,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,9,3,"E.4.140",9,3,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",1
"Garden Park East",2011,NA,NA,"E.4.140",NA,NA,NA,0,0,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",NA
"Garden Park East",2012,2,0,"E.4.140",2,0,1,2,2,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,NA,NA,"E.4.140",NA,NA,0,0,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",NA
"Garden Park East",2009,1,0,"E.4.294",1,0,1,0,0,138.928997993469,77.6599996089935,242.264991760254,13.3455007076263,1.95275008678436,15.1452504396439,"E.4",0
"Garden Park East",2010,1,0,"E.4.294",1,0,1,1,1,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,1,0,"E.4.294",1,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",0
"Garden Park East",2012,3,0,"E.4.294",3,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,3,0,"E.4.294",3,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",0
"Garden Park East",2014,1,0,"E.4.294",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,1,0,"E.4.294",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,4,0,"E.4.294",4,0,1,3,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",0
"Garden Park East",2017,1,0,"E.4.294",NA,NA,NA,0,0,117.009000301361,60.414999961853,326.344995498657,14.6460008621216,2.88675017934293,15.5090007781982,"E.4",NA
"Garden Park East",2018,5,0,"E.4.294",5,0,1,2,2,203.708003997803,38.4449987411499,155.418996810913,13.4550009965897,1.98325005173683,17.0420002937317,"E.4",0
"Garden Park East",2010,3,0,"E.4.305",6,0,1,0,0,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,4,0,"E.4.305",4,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",0
"Garden Park East",2012,3,0,"E.4.305",3,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,4,0,"E.4.305",4,0,1,1,1,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",0
"Garden Park East",2014,3,0,"E.4.305",NA,NA,NA,0,0,248.363007545471,78.2950000762939,234.223993301392,13.1542508602142,0.481249988079071,15.200001001358,"E.4",NA
"Garden Park East",2015,3,0,"E.4.305",NA,NA,NA,0,0,128.878999710083,137.038999557495,426.717010498047,12.9030002951622,2.0455000847578,15.3330008983612,"E.4",NA
"Garden Park East",2016,NA,NA,"E.4.305",NA,NA,0,0,3,116.295997619629,62.1769990921021,247.020998001099,14.6862503290176,2.50200012326241,16.1690006256104,"E.4",NA
"Garden Park East",2010,4,0,"E.4.328",14,0,1,0,0,180.891000747681,124.465995311737,137.686000823975,11.8142503499985,-0.230499997735023,15.9162504673004,"E.4",0
"Garden Park East",2011,2,0,"E.4.328",4,0,1,1,1,85.2840003967285,48.1170001029968,120.632998466492,13.6962507963181,0.953500062227249,15.7627501487732,"E.4",0
"Garden Park East",2012,3,0,"E.4.328",9,0,1,1,1,173.437004089355,45.4470012187958,173.937003135681,13.5752507448196,1.99800008535385,17.4525008201599,"E.4",0
"Garden Park East",2013,NA,NA,"E.4.328",NA,NA,NA,0,0,83.1720008850098,53.7239995002747,163.097997665405,13.4047504663467,0.392250008881092,15.0792510509491,"E.4",NA
