"","demoyr","Site","TagNo","DFN","dbh1","ht1","dbhfromDFN","DBH","surv","lags","resurveyarea","newplt","yr","Temp.Oct.Apr.","Temp.May.Sept.","Precip.Aug.July","fog","cloud","sitetag"
"1393",2015,"MSC","937",NA,5.2,NA,NA,5.2,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC937"
"1394",2016,"MSC","937",NA,5.8,NA,NA,5.8,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC937"
"1395",2017,"MSC","937",NA,6.1,NA,NA,6.1,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC937"
"1396",2002,"MSC","938",0.3,NA,24,0.269909413154784,0.269909413154784,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC938"
"1397",2003,"MSC","938",0.3,NA,27,0.269909413154784,0.269909413154784,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC938"
"1398",2004,"MSC","938",0.4,NA,32,0.320086648286726,0.320086648286726,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC938"
"13981",2005,"MSC","938",NA,NA,32,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC938"
"13982",2006,"MSC","938",NA,NA,32,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC938"
"1399",2007,"MSC","938",0.4,NA,50,0.320086648286726,0.320086648286726,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC938"
"13991",2008,"MSC","938",NA,NA,50,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC938"
"1400",2009,"MSC","938",0.5,NA,59,0.370263883418668,0.370263883418668,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC938"
"14001",2010,"MSC","938",NA,NA,59,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC938"
"1401",2011,"MSC","938",NA,NA,NA,NA,NA,0,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC938"
"1402",2002,"MSC","939",0.9,NA,73,0.570972823946435,0.570972823946435,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC939"
"1403",2003,"MSC","939",1,NA,86,0.621150059078376,0.621150059078376,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC939"
"1404",2004,"MSC","939",1,NA,99,0.621150059078376,0.621150059078376,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC939"
"14041",2005,"MSC","939",NA,NA,99,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC939"
"14042",2006,"MSC","939",NA,NA,99,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC939"
"1405",2007,"MSC","939",NA,1.2,190,NA,1.2,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC939"
"14051",2008,"MSC","939",NA,NA,190,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC939"
"1406",2009,"MSC","939",NA,2.1,259,NA,2.1,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC939"
"14061",2010,"MSC","939",NA,NA,259,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC939"
"1407",2011,"MSC","939",NA,3.5,NA,NA,3.5,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC939"
"14071",2012,"MSC","939",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"MSC939"
"1408",2013,"MSC","939",NA,5,NA,NA,5,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"MSC939"
"1409",2014,"MSC","939",NA,5.2,NA,NA,5.2,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"MSC939"
"1410",2015,"MSC","939",NA,5.5,NA,NA,5.5,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC939"
"1411",2016,"MSC","939",NA,6.1,NA,NA,6.1,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC939"
"1412",2017,"MSC","939",NA,6.6,NA,NA,6.6,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC939"
"1413",2002,"MSC","940",0.3,NA,17,0.269909413154784,0.269909413154784,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC940"
"1414",2003,"MSC","940",0.2,NA,20,0.219732178022843,0.219732178022843,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC940"
"1415",2004,"MSC","940",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC940"
"1416",2002,"MSC","941",1,NA,70,0.621150059078376,0.621150059078376,0,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC941"
"1417",2002,"MSC","942",0.3,NA,29,0.269909413154784,0.269909413154784,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC942"
"1418",2003,"MSC","942",0.3,NA,30,0.269909413154784,0.269909413154784,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC942"
"1419",2004,"MSC","942",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC942"
"1420",2002,"MSC","943",0.4,NA,37,0.320086648286726,0.320086648286726,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC943"
"1421",2003,"MSC","943",0.5,NA,43,0.370263883418668,0.370263883418668,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC943"
"1422",2004,"MSC","943",0.6,NA,64,0.42044111855061,0.42044111855061,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC943"
"14221",2005,"MSC","943",NA,NA,64,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC943"
"14222",2006,"MSC","943",NA,NA,64,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC943"
"1423",2007,"MSC","943",0.8,NA,90,0.520795588814493,0.520795588814493,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC943"
"14231",2008,"MSC","943",NA,NA,90,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC943"
"1424",2009,"MSC","943",1.1,NA,110,0.671327294210318,0.671327294210318,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC943"
"14241",2010,"MSC","943",NA,NA,110,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC943"
"1425",2011,"MSC","943",NA,0.8,182,NA,0.8,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC943"
"14251",2012,"MSC","943",NA,NA,182,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"MSC943"
"1426",2013,"MSC","943",NA,1.4,283,NA,1.4,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"MSC943"
"1427",2014,"MSC","943",NA,1.4,275,NA,1.4,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"MSC943"
"1428",2015,"MSC","943",NA,1.4,296,NA,1.4,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC943"
"1429",2016,"MSC","943",NA,1.7,NA,NA,1.7,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC943"
"1430",2017,"MSC","943",NA,2,NA,NA,2,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC943"
"1431",2002,"MSC","944",0.9,NA,82,0.570972823946435,0.570972823946435,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC944"
"1432",2003,"MSC","944",1,NA,94,0.621150059078376,0.621150059078376,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC944"
"1433",2004,"MSC","944",1.1,NA,100,0.671327294210318,0.671327294210318,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC944"
"14331",2005,"MSC","944",NA,NA,100,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC944"
"14332",2006,"MSC","944",NA,NA,100,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC944"
"1434",2007,"MSC","944",NA,2,160,NA,2,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC944"
"14341",2008,"MSC","944",NA,NA,160,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC944"
"1435",2009,"MSC","944",NA,1.5,213,NA,1.5,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC944"
"14351",2010,"MSC","944",NA,NA,213,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC944"
"1436",2011,"MSC","944",NA,3.2,NA,NA,3.2,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC944"
"14361",2012,"MSC","944",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"MSC944"
"1437",2013,"MSC","944",NA,4.7,NA,NA,4.7,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"MSC944"
"1438",2014,"MSC","944",NA,5,NA,NA,5,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"MSC944"
"1439",2015,"MSC","944",NA,5.1,NA,NA,5.1,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC944"
"1440",2016,"MSC","944",NA,6,NA,NA,6,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC944"
"1441",2017,"MSC","944",NA,5.8,NA,NA,5.8,0,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC944"
"1442",2002,"MSC","949",1.2,NA,67,0.72150452934226,0.72150452934226,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC949"
"1443",2003,"MSC","949",1.2,NA,68,0.72150452934226,0.72150452934226,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC949"
"1444",2004,"MSC","949",1.3,NA,70,0.771681764474201,0.771681764474201,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC949"
"14441",2005,"MSC","949",NA,NA,70,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC949"
"14442",2006,"MSC","949",NA,NA,70,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC949"
"1445",2007,"MSC","949",1.8,NA,105,1.02256794013391,1.02256794013391,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC949"
"14451",2008,"MSC","949",NA,NA,105,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC949"
"1446",2009,"MSC","949",NA,1.7,157,NA,1.7,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC949"
"14461",2010,"MSC","949",NA,NA,157,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC949"
"1447",2011,"MSC","949",NA,2.4,245,NA,2.4,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC949"
"14471",2012,"MSC","949",NA,NA,245,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"MSC949"
"1448",2013,"MSC","949",NA,3.8,253,NA,3.8,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"MSC949"
"1449",2014,"MSC","949",NA,3.9,285,NA,3.9,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"MSC949"
"1450",2015,"MSC","949",NA,4.1,301,NA,4.1,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC949"
"1451",2016,"MSC","949",NA,4.3,NA,NA,4.3,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC949"
"1452",2017,"MSC","949",NA,4.4,NA,NA,4.4,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC949"
"1453",2002,"MSC","950",0.5,NA,52,0.370263883418668,0.370263883418668,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC950"
"1454",2003,"MSC","950",0.5,NA,63,0.370263883418668,0.370263883418668,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC950"
"1455",2004,"MSC","950",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC950"
"1456",2002,"MSC","951",0.4,NA,31,0.320086648286726,0.320086648286726,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC951"
"1457",2003,"MSC","951",NA,NA,NA,NA,NA,0,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC951"
"1458",2002,"MSC","952",0.4,NA,33,0.320086648286726,0.320086648286726,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC952"
"1459",2003,"MSC","952",NA,NA,NA,NA,NA,0,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC952"
"1460",2002,"MSC","953",1.3,NA,122,0.771681764474201,0.771681764474201,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC953"
"1461",2003,"MSC","953",1.5,NA,134,0.872036234738085,0.872036234738085,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC953"
"1462",2004,"MSC","953",1.5,1.5,147,0.872036234738085,1.5,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC953"
"14621",2005,"MSC","953",NA,NA,147,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC953"
"14622",2006,"MSC","953",NA,NA,147,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC953"
"1463",2007,"MSC","953",NA,NA,NA,NA,NA,0,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC953"
"1464",2002,"MSC","954",0.3,NA,22,0.269909413154784,0.269909413154784,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC954"
"1465",2003,"MSC","954",0.3,NA,42,0.269909413154784,0.269909413154784,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC954"
"1466",2004,"MSC","954",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC954"
"1467",2002,"MSC","955",1.2,NA,69,0.72150452934226,0.72150452934226,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC955"
"1468",2003,"MSC","955",1,NA,65,0.621150059078376,0.621150059078376,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC955"
"1469",2004,"MSC","955",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC955"
"1471",2002,"MSC","957",0.4,NA,23,0.320086648286726,0.320086648286726,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC957"
"1472",2003,"MSC","957",NA,NA,NA,NA,NA,0,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC957"
"1473",2002,"MSC","958",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,1,1,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC958"
"1474",2003,"MSC","958",0.1,NA,9,0.169554942890901,0.169554942890901,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC958"
"1475",2004,"MSC","958",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC958"
"1477",2002,"MSC","959",0.3,NA,15,0.269909413154784,0.269909413154784,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC959"
"1478",2003,"MSC","959",0.3,NA,17,0.269909413154784,0.269909413154784,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC959"
"1479",2004,"MSC","959",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC959"
"1480",2002,"MSC","960",0.3,NA,37,0.269909413154784,0.269909413154784,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC960"
"1481",2003,"MSC","960",0.3,NA,40,0.269909413154784,0.269909413154784,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC960"
"1482",2004,"MSC","960",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC960"
"1483",2002,"MSC","961",0.5,NA,30,0.370263883418668,0.370263883418668,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC961"
"1484",2003,"MSC","961",0.5,NA,37,0.370263883418668,0.370263883418668,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC961"
"1485",2004,"MSC","961",0.7,NA,44,0.470618353682551,0.470618353682551,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC961"
"14851",2005,"MSC","961",NA,NA,44,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC961"
"14852",2006,"MSC","961",NA,NA,44,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC961"
"1486",2007,"MSC","961",0.9,NA,66,0.570972823946435,0.570972823946435,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC961"
"14861",2008,"MSC","961",NA,NA,66,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC961"
"1487",2009,"MSC","961",1.2,NA,82,0.72150452934226,0.72150452934226,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC961"
"14871",2010,"MSC","961",NA,NA,82,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC961"
"1488",2011,"MSC","961",1.8,0.5,133,1.02256794013391,0.5,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC961"
"14881",2012,"MSC","961",NA,NA,133,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"MSC961"
"1489",2013,"MSC","961",1.8,0.8,174,1.02256794013391,0.8,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"MSC961"
"1490",2014,"MSC","961",1.516575089,NA,193,0.880353156118943,0.880353156118943,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"MSC961"
"1491",2015,"MSC","961",1.802775638,NA,217,1.02396067853958,1.02396067853958,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC961"
"1492",2016,"MSC","961",NA,1.2,165,NA,1.2,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC961"
"1493",2017,"MSC","961",NA,1.2,195,NA,1.2,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC961"
"1494",2002,"MSC","962",0.6,NA,31,0.42044111855061,0.42044111855061,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC962"
"1495",2003,"MSC","962",NA,NA,NA,NA,NA,0,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC962"
"1496",2002,"MSC","963",NA,18.3,NA,NA,18.3,0,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC963"
"1497",2002,"MSC","964",0.4,NA,36,0.320086648286726,0.320086648286726,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC964"
"1498",2003,"MSC","964",0.4,NA,39,0.320086648286726,0.320086648286726,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC964"
"1499",2004,"MSC","964",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC964"
"1500",2002,"MSC","965",0.9,NA,86,0.570972823946435,0.570972823946435,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC965"
"15011",2003,"MSC","965",0.8,NA,85,0.520795588814493,0.520795588814493,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC965"
"1502",2004,"MSC","965",0.9,NA,94,0.570972823946435,0.570972823946435,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC965"
"15021",2005,"MSC","965",NA,NA,94,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC965"
"15022",2006,"MSC","965",NA,NA,94,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC965"
"1503",2007,"MSC","965",0.9,NA,107,0.570972823946435,0.570972823946435,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC965"
"15031",2008,"MSC","965",NA,NA,107,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC965"
"1504",2009,"MSC","965",1,NA,120,0.621150059078376,0.621150059078376,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC965"
"15041",2010,"MSC","965",NA,NA,120,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC965"
"1505",2011,"MSC","965",1.3,NA,100,0.771681764474201,0.771681764474201,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC965"
"15051",2012,"MSC","965",NA,NA,100,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"MSC965"
"1506",2013,"MSC","965",1.5,0.2,135,0.872036234738085,0.2,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"MSC965"
"1507",2014,"MSC","965",0.5,NA,145,0.370263883418668,0.370263883418668,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"MSC965"
"1508",2015,"MSC","965",1.8,NA,185,1.02256794013391,1.02256794013391,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC965"
"1509",2016,"MSC","965",NA,0.9,158,NA,0.9,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC965"
"1510",2017,"MSC","965",NA,2.2,156,NA,2.2,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC965"
"15111",2002,"MSC","966",0.3,NA,17,0.269909413154784,0.269909413154784,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC966"
"15121",2003,"MSC","966",0.3,NA,18,0.269909413154784,0.269909413154784,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC966"
"1513",2004,"MSC","966",0.4,NA,21,0.320086648286726,0.320086648286726,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC966"
"15131",2005,"MSC","966",NA,NA,21,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC966"
"15132",2006,"MSC","966",NA,NA,21,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC966"
"1514",2007,"MSC","966",0.6,NA,42,0.42044111855061,0.42044111855061,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC966"
"15141",2008,"MSC","966",NA,NA,42,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC966"
"1515",2009,"MSC","966",0.6,NA,42,0.42044111855061,0.42044111855061,0,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC966"
"1516",2002,"MSC","967",0.9,NA,60,0.570972823946435,0.570972823946435,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC967"
"1517",2003,"MSC","967",1,NA,71,0.621150059078376,0.621150059078376,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC967"
"1518",2004,"MSC","967",1.1,NA,85,0.671327294210318,0.671327294210318,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC967"
"15181",2005,"MSC","967",NA,NA,85,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC967"
"15182",2006,"MSC","967",NA,NA,85,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC967"
"1519",2007,"MSC","967",1.8,NA,136,1.02256794013391,1.02256794013391,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC967"
"15191",2008,"MSC","967",NA,NA,136,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC967"
"1520",2009,"MSC","967",NA,1.8,176,NA,1.8,0,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC967"
"1523",2002,"MSC","968",0.2,NA,13,0.219732178022843,0.219732178022843,1,0,1,1,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC968"
"1524",2003,"MSC","968",0.3,NA,18,0.269909413154784,0.269909413154784,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC968"
"1525",2004,"MSC","968",NA,NA,NA,NA,NA,0,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC968"
"1526",2002,"MSC","969",NA,47.7,NA,NA,47.7,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC969"
"1527",2003,"MSC","969",NA,48,3000,NA,48,1,1,1,0,2003,13.143,14.48,293.63,13785.266,10299.033,"MSC969"
"1528",2004,"MSC","969",NA,48.1,4003,NA,48.1,1,1,1,0,2004,12.929,14.16,772.77,9001.189,6400.959,"MSC969"
"15281",2005,"MSC","969",NA,NA,4003,NA,NA,NA,0,1,0,2005,13.057,14.78,482.06,10577.29,8228.298,"MSC969"
"15282",2006,"MSC","969",NA,NA,4003,NA,NA,NA,0,1,0,2006,13.271,14.92,199.38,11801.273,10143.376,"MSC969"
"1529",2007,"MSC","969",NA,48.5,NA,NA,48.5,1,3,1,0,2007,12.729,14.86,353.13,10910.287,9311.544,"MSC969"
"15291",2008,"MSC","969",NA,NA,NA,NA,NA,NA,0,1,0,2008,13.414,15.54,283.43,11309.636,7882.062,"MSC969"
"1530",2009,"MSC","969",NA,49.3,NA,NA,49.3,1,2,1,0,2009,12.529,13.44,595.35,11625.308,9276.037,"MSC969"
"15301",2010,"MSC","969",NA,NA,NA,NA,NA,NA,0,1,0,2010,12.971,13.52,797.16,10810.442,6033.497,"MSC969"
"15311",2011,"MSC","969",NA,50.3,NA,NA,50.3,1,2,1,0,2011,12.9,14.78,340.13,10342.664,7190.291,"MSC969"
"15312",2012,"MSC","969",NA,NA,NA,NA,NA,NA,0,1,0,2012,13.814,15.58,228.58,11340.241,8652.612,"MSC969"
"1532",2013,"MSC","969",NA,50,NA,NA,50,1,2,1,0,2013,14.357,16.06,192.27,12276.104,7806.735,"MSC969"
"1533",2014,"MSC","969",NA,50.1,NA,NA,50.1,1,1,1,0,2014,15.686,15.44,354.61,12973.756,10639.12,"MSC969"
"1534",2015,"MSC","969",NA,50.9,NA,NA,50.9,1,1,1,0,2015,13.957,14.38,367.54,11279.114,9834.776,"MSC969"
"1535",2016,"MSC","969",NA,50.5,NA,NA,50.5,1,1,1,0,2016,13.6,15.7,797.63,11562.25,9450.275,"MSC969"
"1536",2017,"MSC","969",NA,51,NA,NA,51,1,1,1,0,2017,NA,NA,NA,11215.875,8533.928,"MSC969"
"1537",2002,"MSC","970",NA,17.5,NA,NA,17.5,0,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC970"
"1538",2002,"MSC","972",0.4,NA,26,0.320086648286726,0.320086648286726,1,0,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205,"MSC972"
