"","demoyr","Site","TagNo","DFN","dbh1","ht1","dbhfromDFN","DBH","surv","lags","yr","Temp.Oct.Apr.","Temp.May.Sept.","Precip.Aug.July","fog","cloud"
"2045",2016,"MSC","1093",NA,8.2,NA,NA,8.2,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"2046",2017,"MSC","1093",NA,8.2,NA,NA,8.2,1,1,2017,NA,NA,NA,11215.875,8533.928
"2047",2002,"MSC","1094",0.2,NA,8,0.219732178022843,0.219732178022843,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2048",2003,"MSC","1094",0.2,NA,13,0.219732178022843,0.219732178022843,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2049",2004,"MSC","1094",NA,NA,NA,NA,NA,0,1,2004,12.929,14.16,772.77,9001.189,6400.959
"2050",2002,"MSC","1096",0.3,NA,16,0.269909413154784,0.269909413154784,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2051",2003,"MSC","1096",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2052",2002,"MSC","1097",0.7,NA,71,0.470618353682551,0.470618353682551,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2053",2003,"MSC","1097",0.7,NA,73,0.470618353682551,0.470618353682551,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2054",2004,"MSC","1097",NA,NA,NA,NA,NA,0,1,2004,12.929,14.16,772.77,9001.189,6400.959
"2055",2002,"MSC","1098",0.4,NA,26,0.320086648286726,0.320086648286726,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2056",2003,"MSC","1098",0.5,NA,30,0.370263883418668,0.370263883418668,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2057",2004,"MSC","1098",NA,NA,NA,NA,NA,0,1,2004,12.929,14.16,772.77,9001.189,6400.959
"2058",2002,"MSC","1099",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2059",2003,"MSC","1099",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2060",2002,"MSC","1100",0.2,NA,12,0.219732178022843,0.219732178022843,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"20611",2003,"MSC","1100",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2062",2002,"MSC","1101",1.1,NA,100,0.671327294210318,0.671327294210318,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2063",2003,"MSC","1101",1.1,NA,104,0.671327294210318,0.671327294210318,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2064",2004,"MSC","1101",1.2,NA,124,0.72150452934226,0.72150452934226,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"20641",2005,"MSC","1101",NA,NA,124,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"20642",2006,"MSC","1101",NA,NA,124,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2065",2007,"MSC","1101",1.5,NA,174,0.872036234738085,0.872036234738085,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"20651",2008,"MSC","1101",NA,NA,174,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2066",2009,"MSC","1101",NA,1.5,174,NA,1.5,0,2,2009,12.529,13.44,595.35,11625.308,9276.037
"2067",2002,"MSC","1102",1.3,NA,116,0.771681764474201,0.771681764474201,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2068",2003,"MSC","1102",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2070",2002,"MSC","1103",0.5,NA,38,0.370263883418668,0.370263883418668,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"20711",2003,"MSC","1103",0.7,NA,56,0.470618353682551,0.470618353682551,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2072",2004,"MSC","1103",0.8,NA,49,0.520795588814493,0.520795588814493,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"20721",2005,"MSC","1103",NA,NA,49,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"20722",2006,"MSC","1103",NA,NA,49,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2073",2007,"MSC","1103",1.8,NA,90,1.02256794013391,1.02256794013391,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"20731",2008,"MSC","1103",NA,NA,90,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2074",2009,"MSC","1103",1.7,NA,100,0.972390705001968,0.972390705001968,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"20741",2010,"MSC","1103",NA,NA,100,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"2075",2011,"MSC","1103",2.3,NA,133,1.27345411579362,1.27345411579362,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"20751",2012,"MSC","1103",NA,NA,133,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2076",2013,"MSC","1103",2.4,0.5,155,1.32363135092556,0.5,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2077",2014,"MSC","1103",NA,0.6,151,NA,0.6,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"2079",2002,"MSC","1104",0.4,NA,32,0.320086648286726,0.320086648286726,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2080",2003,"MSC","1104",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2082",2002,"MSC","1105",0.7,NA,70,0.470618353682551,0.470618353682551,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2083",2003,"MSC","1105",0.7,NA,76,0.470618353682551,0.470618353682551,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2084",2004,"MSC","1105",NA,NA,NA,NA,NA,0,1,2004,12.929,14.16,772.77,9001.189,6400.959
"2086",2002,"MSC","1106",0.3,NA,23,0.269909413154784,0.269909413154784,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2087",2003,"MSC","1106",0.3,NA,25,0.269909413154784,0.269909413154784,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2088",2004,"MSC","1106",NA,NA,NA,NA,NA,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"20881",2005,"MSC","1106",NA,NA,NA,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"20882",2006,"MSC","1106",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2089",2007,"MSC","1106",NA,NA,NA,NA,NA,0,3,2007,12.729,14.86,353.13,10910.287,9311.544
"2092",2002,"MSC","1107",0.3,NA,23,0.269909413154784,0.269909413154784,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2093",2003,"MSC","1107",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2094",2002,"MSC","1108",1.1,NA,66,0.671327294210318,0.671327294210318,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2095",2003,"MSC","1108",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2098",2002,"MSC","1109",NA,0.6,141,NA,0.6,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2099",2003,"MSC","1109",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2102",2002,"MSC","1110",NA,2.1,253,NA,2.1,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2103",2003,"MSC","1110",NA,2.7,271,NA,2.7,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2104",2004,"MSC","1110",NA,3.2,319,NA,3.2,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21041",2005,"MSC","1110",NA,NA,319,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21042",2006,"MSC","1110",NA,NA,319,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2105",2007,"MSC","1110",NA,5.4,NA,NA,5.4,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"21051",2008,"MSC","1110",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2106",2009,"MSC","1110",NA,6.7,NA,NA,6.7,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"21061",2010,"MSC","1110",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"2107",2011,"MSC","1110",NA,9.3,NA,NA,9.3,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"21071",2012,"MSC","1110",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2108",2013,"MSC","1110",NA,10.9,NA,NA,10.9,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2109",2014,"MSC","1110",NA,11.3,NA,NA,11.3,1,1,2014,15.686,15.44,354.61,12973.756,10639.12
"2110",2015,"MSC","1110",NA,11.7,NA,NA,11.7,1,1,2015,13.957,14.38,367.54,11279.114,9834.776
"2111",2016,"MSC","1110",NA,12.2,NA,NA,12.2,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"2112",2017,"MSC","1110",NA,12.7,NA,NA,12.7,1,1,2017,NA,NA,NA,11215.875,8533.928
"2113",2002,"MSC","1111",NA,1.2,188,NA,1.2,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2114",2003,"MSC","1111",NA,1.8,224,NA,1.8,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2115",2004,"MSC","1111",NA,2.9,NA,NA,2.9,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21151",2005,"MSC","1111",NA,NA,NA,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21152",2006,"MSC","1111",NA,NA,NA,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2116",2007,"MSC","1111",NA,3.9,NA,NA,3.9,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"21161",2008,"MSC","1111",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2117",2009,"MSC","1111",NA,5.2,NA,NA,5.2,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"21171",2010,"MSC","1111",NA,NA,NA,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"2118",2011,"MSC","1111",NA,6.3,NA,NA,6.3,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"21181",2012,"MSC","1111",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2119",2013,"MSC","1111",NA,6.4,NA,NA,6.4,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2120",2014,"MSC","1111",NA,6.5,NA,NA,6.5,1,1,2014,15.686,15.44,354.61,12973.756,10639.12
"2121",2015,"MSC","1111",NA,6.6,NA,NA,6.6,1,1,2015,13.957,14.38,367.54,11279.114,9834.776
"2122",2016,"MSC","1111",NA,6.8,NA,NA,6.8,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"2123",2017,"MSC","1111",NA,7.4,NA,NA,7.4,1,1,2017,NA,NA,NA,11215.875,8533.928
"2124",2002,"MSC","1112",0.2,NA,18,0.219732178022843,0.219732178022843,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2125",2003,"MSC","1112",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2126",2002,"MSC","1113",0.3,NA,39,0.269909413154784,0.269909413154784,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2127",2003,"MSC","1113",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2128",2002,"MSC","1114",0.3,NA,31,0.269909413154784,0.269909413154784,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2129",2003,"MSC","1114",0.2,NA,36,0.219732178022843,0.219732178022843,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2130",2004,"MSC","1114",NA,NA,NA,NA,NA,0,1,2004,12.929,14.16,772.77,9001.189,6400.959
"2132",2002,"MSC","1115",0.3,NA,25,0.269909413154784,0.269909413154784,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2133",2003,"MSC","1115",0.4,NA,33,0.320086648286726,0.320086648286726,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2134",2004,"MSC","1115",0.5,NA,35,0.370263883418668,0.370263883418668,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21341",2005,"MSC","1115",NA,NA,35,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21342",2006,"MSC","1115",NA,NA,35,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2135",2007,"MSC","1115",NA,NA,39,NA,NA,0,3,2007,12.729,14.86,353.13,10910.287,9311.544
"2136",2002,"MSC","1116",0.9,NA,69,0.570972823946435,0.570972823946435,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2137",2003,"MSC","1116",0.9,NA,71,0.570972823946435,0.570972823946435,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2138",2004,"MSC","1116",1,NA,85,0.621150059078376,0.621150059078376,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21381",2005,"MSC","1116",NA,NA,85,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21382",2006,"MSC","1116",NA,NA,85,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2139",2007,"MSC","1116",NA,NA,92,NA,NA,0,3,2007,12.729,14.86,353.13,10910.287,9311.544
"2140",2002,"MSC","1117",1.3,NA,98,0.771681764474201,0.771681764474201,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"21411",2003,"MSC","1117",1.4,NA,112,0.821858999606143,0.821858999606143,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2142",2004,"MSC","1117",1.6,NA,123,0.922213469870027,0.922213469870027,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21421",2005,"MSC","1117",NA,NA,123,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21422",2006,"MSC","1117",NA,NA,123,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2143",2007,"MSC","1117",NA,2.3,210,NA,2.3,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"21431",2008,"MSC","1117",NA,NA,210,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2144",2009,"MSC","1117",NA,3,250,NA,3,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"21441",2010,"MSC","1117",NA,NA,250,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"2145",2011,"MSC","1117",NA,4.1,263,NA,4.1,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"21451",2012,"MSC","1117",NA,NA,263,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2146",2013,"MSC","1117",NA,4.1,NA,NA,4.1,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2147",2014,"MSC","1117",NA,4.6,NA,NA,4.6,1,1,2014,15.686,15.44,354.61,12973.756,10639.12
"2148",2015,"MSC","1117",NA,5.1,NA,NA,5.1,1,1,2015,13.957,14.38,367.54,11279.114,9834.776
"2149",2016,"MSC","1117",NA,5.5,NA,NA,5.5,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"2150",2017,"MSC","1117",NA,6.1,NA,NA,6.1,1,1,2017,NA,NA,NA,11215.875,8533.928
"21511",2002,"MSC","1118",0.5,NA,47,0.370263883418668,0.370263883418668,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2152",2003,"MSC","1118",0.7,NA,60,0.470618353682551,0.470618353682551,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2153",2004,"MSC","1118",0.8,NA,73,0.520795588814493,0.520795588814493,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21531",2005,"MSC","1118",NA,NA,73,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21532",2006,"MSC","1118",NA,NA,73,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2154",2007,"MSC","1118",1.1,NA,139,0.671327294210318,0.671327294210318,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"21541",2008,"MSC","1118",NA,NA,139,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2155",2009,"MSC","1118",1.2,NA,133,0.72150452934226,0.72150452934226,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"21551",2010,"MSC","1118",NA,NA,133,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"2156",2011,"MSC","1118",NA,1.1,235,NA,1.1,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"21561",2012,"MSC","1118",NA,NA,235,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2157",2013,"MSC","1118",NA,1.5,NA,NA,1.5,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2158",2014,"MSC","1118",NA,1.6,NA,NA,1.6,1,1,2014,15.686,15.44,354.61,12973.756,10639.12
"2159",2015,"MSC","1118",NA,1.8,NA,NA,1.8,1,1,2015,13.957,14.38,367.54,11279.114,9834.776
"2160",2016,"MSC","1118",NA,1.6,NA,NA,1.6,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"2161",2017,"MSC","1118",NA,1.8,NA,NA,1.8,1,1,2017,NA,NA,NA,11215.875,8533.928
"2162",2002,"MSC","1119",0.5,NA,51,0.370263883418668,0.370263883418668,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2163",2003,"MSC","1119",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2164",2002,"MSC","1120",0.8,NA,75,0.520795588814493,0.520795588814493,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2165",2003,"MSC","1120",1,NA,96,0.621150059078376,0.621150059078376,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2166",2004,"MSC","1120",1.1,NA,114,0.671327294210318,0.671327294210318,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21661",2005,"MSC","1120",NA,NA,114,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21662",2006,"MSC","1120",NA,NA,114,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2167",2007,"MSC","1120",NA,1,208,NA,1,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"21671",2008,"MSC","1120",NA,NA,208,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2168",2009,"MSC","1120",NA,1.7,275,NA,1.7,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"21681",2010,"MSC","1120",NA,NA,275,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"2169",2011,"MSC","1120",NA,2.7,NA,NA,2.7,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"21691",2012,"MSC","1120",NA,NA,NA,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2170",2013,"MSC","1120",NA,3.6,NA,NA,3.6,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2171",2014,"MSC","1120",NA,3.8,NA,NA,3.8,1,1,2014,15.686,15.44,354.61,12973.756,10639.12
"2172",2015,"MSC","1120",NA,3.9,NA,NA,3.9,1,1,2015,13.957,14.38,367.54,11279.114,9834.776
"2173",2016,"MSC","1120",NA,4.2,NA,NA,4.2,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"2174",2017,"MSC","1120",NA,4.7,NA,NA,4.7,1,1,2017,NA,NA,NA,11215.875,8533.928
"2175",2002,"MSC","1121",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2176",2003,"MSC","1121",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2177",2002,"MSC","1122",0.9,NA,75,0.570972823946435,0.570972823946435,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2178",2003,"MSC","1122",1,NA,97,0.621150059078376,0.621150059078376,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2179",2004,"MSC","1122",1,NA,116,0.621150059078376,0.621150059078376,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21791",2005,"MSC","1122",NA,NA,116,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21792",2006,"MSC","1122",NA,NA,116,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2180",2007,"MSC","1122",NA,NA,NA,NA,NA,0,3,2007,12.729,14.86,353.13,10910.287,9311.544
"2183",2002,"MSC","1123",0.3,NA,32,0.269909413154784,0.269909413154784,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2184",2003,"MSC","1123",0.4,NA,36,0.320086648286726,0.320086648286726,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2185",2004,"MSC","1123",0.4,NA,44,0.320086648286726,0.320086648286726,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21851",2005,"MSC","1123",NA,NA,44,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21852",2006,"MSC","1123",NA,NA,44,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2186",2007,"MSC","1123",0.6,NA,60,0.42044111855061,0.42044111855061,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"21861",2008,"MSC","1123",NA,NA,60,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2187",2009,"MSC","1123",0.6,NA,66,0.42044111855061,0.42044111855061,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"21871",2010,"MSC","1123",NA,NA,66,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"2188",2011,"MSC","1123",0.9,NA,92,0.570972823946435,0.570972823946435,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"21881",2012,"MSC","1123",NA,NA,92,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2189",2013,"MSC","1123",1.1,0.2,135,0.671327294210318,0.2,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2190",2014,"MSC","1123",1.1,0.4,142,0.671327294210318,0.4,1,1,2014,15.686,15.44,354.61,12973.756,10639.12
"21911",2015,"MSC","1123",1.3,0.7,159,0.771681764474201,0.7,1,1,2015,13.957,14.38,367.54,11279.114,9834.776
"2192",2016,"MSC","1123",NA,0.9,169,NA,0.9,1,1,2016,13.6,15.7,797.63,11562.25,9450.275
"2193",2017,"MSC","1123",NA,1.1,189,NA,1.1,1,1,2017,NA,NA,NA,11215.875,8533.928
"2194",2002,"MSC","1124",0.4,NA,26,0.320086648286726,0.320086648286726,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2195",2003,"MSC","1124",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2196",2002,"MSC","1125",0.5,NA,34,0.370263883418668,0.370263883418668,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2197",2003,"MSC","1125",0.5,NA,43,0.370263883418668,0.370263883418668,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2198",2004,"MSC","1125",0.6,NA,52,0.42044111855061,0.42044111855061,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"21981",2005,"MSC","1125",NA,NA,52,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"21982",2006,"MSC","1125",NA,NA,52,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2199",2007,"MSC","1125",0.6,NA,93,0.42044111855061,0.42044111855061,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"21991",2008,"MSC","1125",NA,NA,93,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2200",2009,"MSC","1125",1.1,NA,102,0.671327294210318,0.671327294210318,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"22001",2010,"MSC","1125",NA,NA,102,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"22011",2011,"MSC","1125",NA,1,178,NA,1,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"22012",2012,"MSC","1125",NA,NA,178,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"2202",2013,"MSC","1125",NA,2,NA,NA,2,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"2203",2014,"MSC","1125",NA,2,NA,NA,2,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"2205",2002,"MSC","1126",0.2,NA,11,0.219732178022843,0.219732178022843,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2206",2003,"MSC","1126",NA,NA,NA,NA,NA,0,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2209",2002,"MSC","1127",0.2,NA,21,0.219732178022843,0.219732178022843,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2210",2003,"MSC","1127",0.3,NA,28,0.269909413154784,0.269909413154784,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"22111",2004,"MSC","1127",0.3,NA,34,0.269909413154784,0.269909413154784,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"22112",2005,"MSC","1127",NA,NA,34,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"22113",2006,"MSC","1127",NA,NA,34,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2212",2007,"MSC","1127",NA,NA,NA,NA,NA,0,3,2007,12.729,14.86,353.13,10910.287,9311.544
"2215",2002,"MSC","1128",0.8,NA,69,0.520795588814493,0.520795588814493,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2216",2003,"MSC","1128",0.7,NA,77,0.470618353682551,0.470618353682551,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"2217",2004,"MSC","1128",0.8,NA,79,0.520795588814493,0.520795588814493,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"22171",2005,"MSC","1128",NA,NA,79,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"22172",2006,"MSC","1128",NA,NA,79,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2218",2007,"MSC","1128",0.8,NA,63,0.520795588814493,0.520795588814493,0,3,2007,12.729,14.86,353.13,10910.287,9311.544
"2219",2002,"MSC","1129",0.7,NA,52,0.470618353682551,0.470618353682551,1,0,2002,13.1743,14.74,431.22,13863.999,12609.205
"2220",2003,"MSC","1129",0.8,NA,58,0.520795588814493,0.520795588814493,1,1,2003,13.143,14.48,293.63,13785.266,10299.033
"22211",2004,"MSC","1129",1,NA,68,0.621150059078376,0.621150059078376,1,1,2004,12.929,14.16,772.77,9001.189,6400.959
"22212",2005,"MSC","1129",NA,NA,68,NA,NA,NA,0,2005,13.057,14.78,482.06,10577.29,8228.298
"22213",2006,"MSC","1129",NA,NA,68,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"2222",2007,"MSC","1129",1.6,NA,134,0.922213469870027,0.922213469870027,1,3,2007,12.729,14.86,353.13,10910.287,9311.544
"22221",2008,"MSC","1129",NA,NA,134,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"2223",2009,"MSC","1129",NA,1.5,197,NA,1.5,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"22231",2010,"MSC","1129",NA,NA,197,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
